timestamp,Above 0,Above 5,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 48,Above 50,Above 52,Above 55,Above 57,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90,Above 95
2025-02-21T19:35:00Z,,,,,58.00,75.00,,,70.25,44.41,,43.13,,33.00,,12.46,34.00,21.00,27.50,,,14.00,
2025-02-21T20:28:00Z,,,,,58.00,75.00,,,70.25,45.00,,43.13,,33.00,,12.46,34.00,21.00,27.50,,,14.00,
2025-02-21T21:49:00Z,,,,,58.00,75.00,,,70.25,45.00,,43.13,,33.00,,20.00,34.00,21.00,27.50,,,14.00,
2025-02-21T22:07:00Z,,,,,58.00,75.00,,,70.25,45.00,,43.13,,33.00,,20.00,34.00,21.00,27.50,,,14.00,
2025-02-21T22:12:00Z,,,,,58.00,75.00,,,70.25,45.00,,43.13,,33.00,,20.00,34.00,21.00,27.50,,,14.00,
2025-02-21T22:20:00Z,,,,,58.00,75.00,,,31.17,45.00,,43.13,,33.00,,20.00,34.00,21.00,27.50,,,14.00,
2025-02-21T22:22:00Z,,,,,58.00,74.80,,,31.17,45.00,,43.13,,33.00,,20.00,34.00,21.00,27.50,,,14.00,
2025-02-21T22:23:00Z,,,,,58.00,74.80,,,31.17,45.00,,43.13,,33.00,,20.00,34.00,21.00,27.50,,,14.00,
2025-02-21T22:56:00Z,,,,,58.00,74.00,,,31.17,45.00,,43.13,,33.00,,20.00,34.00,21.00,27.50,,,14.00,
2025-02-21T23:24:00Z,,,,,58.00,74.00,,,63.66,45.00,,43.13,,33.00,,20.00,34.00,21.00,27.50,,,14.00,
2025-02-22T00:07:00Z,,,,,58.00,74.00,,,63.66,45.00,,43.13,,36.01,,20.04,34.00,21.00,27.50,,,14.00,
2025-02-22T00:47:00Z,,,,,58.00,74.00,,,51.88,45.00,,43.13,,36.01,,20.04,34.00,21.00,27.50,,,14.00,
2025-02-22T01:33:00Z,,,,,58.00,74.00,,,51.88,46.87,,43.13,,36.01,,20.04,34.00,21.00,27.50,,,14.00,
2025-02-22T03:39:00Z,,,,,58.00,74.00,,,51.88,46.87,,43.13,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T04:00:00Z,,,,,58.00,76.98,,,51.88,46.87,,43.13,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T04:21:00Z,,,,,58.00,76.98,,,51.88,48.43,,43.13,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T05:07:00Z,,,,,63.00,76.98,,,51.88,48.43,,43.13,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T05:26:00Z,,,,,63.00,76.98,,,51.88,49.81,,43.13,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T05:27:00Z,,,,,63.00,82.31,,,51.88,49.81,,43.13,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T05:28:00Z,,,,,63.00,86.22,,,51.88,49.81,,43.13,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T06:00:00Z,,,,,63.00,86.22,,,67.00,49.81,,43.13,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T06:07:00Z,,,,,63.00,86.22,,,67.00,49.81,,12.37,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T06:14:00Z,,,,,63.00,87.00,,,67.00,49.81,,12.37,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T06:39:00Z,,,,,63.00,86.41,,,67.00,49.81,,12.37,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T07:07:00Z,,,,,63.00,86.41,,,67.00,52.00,,12.37,,36.01,,12.00,34.00,21.00,27.50,,,14.00,
2025-02-22T07:08:00Z,,,,,63.00,86.41,,,67.00,52.00,,12.37,,36.01,,21.00,34.00,21.00,27.50,,,18.00,
2025-02-22T07:10:00Z,,,,67.00,63.00,75.77,,,50.28,52.00,,12.37,,36.01,,21.00,34.00,21.00,27.50,,,18.00,
2025-02-22T07:11:00Z,,,,67.00,64.00,75.77,,,50.28,52.00,,12.37,,36.01,,21.00,34.00,21.00,27.50,,,18.00,
2025-02-22T07:32:00Z,,,,67.00,64.00,75.77,,,50.28,52.00,,12.37,,36.01,,22.78,34.00,21.00,27.50,,,18.00,
2025-02-22T07:39:00Z,,,,67.00,64.00,75.00,,,68.18,52.00,,12.37,,36.01,,22.78,34.00,21.00,27.50,,,18.00,
2025-02-22T14:13:00Z,,,,67.00,64.00,75.00,,,68.18,52.00,,12.37,,36.01,,22.78,34.00,21.00,27.50,,,18.00,
2025-02-22T14:33:00Z,,,,67.00,64.00,75.00,,,68.18,50.00,,12.37,,36.01,,22.78,34.00,21.00,27.50,,,18.00,
2025-02-22T14:50:00Z,,,,67.00,64.00,75.00,,,61.00,50.00,,12.37,,36.01,,22.78,34.00,21.00,27.50,,,18.00,
2025-02-22T15:24:00Z,,,,67.00,64.00,82.54,,,61.00,50.00,,12.37,,36.01,,22.78,34.00,21.00,27.50,,,18.00,
2025-02-22T15:26:00Z,,,,67.00,64.00,83.00,,,61.00,50.00,,12.37,,36.01,,22.78,34.00,21.00,27.50,,,18.00,
2025-02-22T15:59:00Z,,,,67.00,64.00,83.00,,,67.00,50.00,,12.37,,36.01,,22.78,34.00,21.00,27.50,,,18.00,
2025-02-22T16:04:00Z,,,,67.00,64.00,83.00,,,54.00,50.00,,12.37,,36.01,,22.78,34.00,21.00,27.50,,,18.00,
2025-02-22T17:29:00Z,,,,67.00,64.00,83.00,,,54.00,50.00,,21.00,,36.01,,17.00,34.00,21.00,27.50,,,18.00,
2025-02-22T17:54:00Z,,,,67.00,64.00,83.00,,,54.00,49.00,,21.00,,36.01,,17.00,34.00,21.00,27.50,,,18.00,
2025-02-22T20:53:00Z,,,,67.00,94.50,86.00,,,54.00,49.00,,21.00,,36.01,,17.00,34.00,21.00,27.50,,,18.00,
2025-02-22T22:22:00Z,,,,67.00,94.50,86.38,,,54.00,49.00,,21.00,,36.01,,17.00,34.00,21.00,27.50,,,18.00,
2025-02-22T23:07:00Z,,,,67.00,94.50,86.38,,,54.00,50.00,,21.00,,36.01,,17.00,34.00,21.00,27.50,,,18.00,
2025-02-23T00:08:00Z,,,,67.00,94.50,87.00,,,54.00,50.00,,21.00,,36.01,,17.00,34.00,21.00,27.50,,,18.00,
2025-02-23T00:09:00Z,,,,67.00,94.50,88.00,,,54.00,50.00,,21.00,,36.01,,17.00,34.00,21.00,27.50,,,18.00,
2025-02-23T00:20:00Z,,,,67.00,94.50,88.00,,,54.00,52.61,,21.00,,36.01,,17.00,34.00,21.00,27.50,,,18.00,
2025-02-23T00:44:00Z,,,,67.00,94.50,88.00,,,54.00,52.61,,21.00,,38.00,,17.00,34.00,21.00,27.50,,,18.00,
